"Species_name" "Taxonomic_order" "Taxonomic_family" "Taxonomic_genus" "Mean_adult_body_mass_g" "Mean_neonate_body_neonate_body_mass_g" "Mean_home_range_size_km2" "Mean_population_density_ind_km2" "Mean_group_size" "Mean_litter_per_year" "Mean_interbirth_interval" "Mean_weaning_age_d" "Mean_sexual_maturity_age_d" "Mean_litter_size" "Mean_gestation_length_d" "SD_adult_body_mass_g" "SD_neonate_body_neonate_body_mass_g" "SD_home_range_size_km2" "SD_population_density_ind_km2" "SD_group_size" "SD_litter_per_year" "SD_interbirth_interval" "SD_weaning_age_d" "SD_sexual_maturity_age_d" "SD_litter_size" "SD_gestation_length_d"
"Mustela_lutreola" "Carnivora" "Mustelidae" "Mustela" 552.5 7.438 NA NA NA NA 362.5 53.438 326.146 4.5 44.688 124.3125 0.684296 NA NA NA NA 2.5375 16.83297 36.854498 0 5.80944
"Mustela_sibirica" "Carnivora" "Mustelidae" "Mustela" 528.75 NA NA NA NA NA NA 58.667 NA 6.667 31.1 139.59 NA NA NA NA NA NA 1.877344 NA 0.473357 3.732
"Mustela_putorius" "Carnivora" "Mustelidae" "Mustela" 952.942 9.2 0.872915833 0.703 NA 1.4 250 57.25 310.333 8.479 41.063 188.682516 1.1224 0.832802616501261 0.369778 NA 0.49 110 19.06425 54.618608 2.196061 0.739134
"Mustela_erminea" "Carnivora" "Mustelidae" "Mustela" 206.598 2.025 0.22052 7.036 NA NA 363.333 41.7 152.377 6.803 54.519 98.13405 0.56295 0.34006889648088 3.757224 NA NA 2.179998 16.263 131.653728 1.612311 19.408764
"Mustela_nivalis" "Carnivora" "Mustelidae" "Mustela" 90.777 2.484 0.3641075 19.889 NA 1.5 272.5 39.669 182.438 5.65 37.891 37.400124 1.15506 0.525246504850847 22.196124 NA 0.774 92.3775 18.406416 81.732224 1.32775 4.433247
"Neovison_vison" "Carnivora" "Mustelidae" "Neovison" 872.869 8.425 NA NA NA NA 362.5 48.25 345.938 4.592 48.981 219.962988 1.390125 NA NA NA NA 2.5375 18.914 70.225414 0.831152 11.559516
"Procyon_lotor" "Carnivora" "Procyonidae" "Procyon" 7232.221 86.475 7.119765 2.967 NA 1 NA 79.444 478.125 3.354 63.911 2256.452952 11.7606 3.81523500053474 1.011747 NA 0 NA 33.525368 126.703125 0.885456 2.045152
"Nasua_nasua" "Carnivora" "Procyonidae" "Nasua" 3694.088 145 NA 16.45 NA NA NA 94.333 NA 3.938 73.5 265.974336 4.93 NA 1.3489 NA NA NA 47.260833 NA 1.118392 2.499
"Canis_latrans" "Carnivora" "Canidae" "Canis" 12197.47 211.54 39.7382275 0.233 NA NA 363.333 42.9 356 6.193 61.821 2110.16231 41.88492 37.15398297095 0.147722 NA NA 2.179998 27.6705 105.732 1.987953 1.978272
"Lycalopex_griseus" "Carnivora" "Canidae" "Lycalopex" 6201.988 NA NA NA NA NA NA NA NA NA NA 1755.162604 NA NA NA NA NA NA NA NA NA NA
"Nyctereutes_procyonoides" "Carnivora" "Canidae" "Nyctereutes" 4636.99 91.528 1.707235 NA NA NA 362.5 43.667 324.179 6.271 61.45 978.40489 15.834344 0.81723500075011 NA NA NA 2.5375 20.130487 62.566547 1.768422 2.39655
"Vulpes_vulpes" "Carnivora" "Canidae" "Vulpes" 5077.005 103.063 7.14480125 1.763 NA NA 364.167 40.81 298.186 4.387 52.343 964.63095 12.985938 16.6391119537331 2.566928 NA NA 1.820835 12.52867 34.29139 0.982688 3.978068
"Vulpes_lagopus" "Carnivora" "Canidae" "Vulpes" 4260.696 67.625 19.63766889 0.162 NA NA 362.5 38.944 300.357 7.989 52.413 1218.559056 6.965375 12.0364612108981 0.131544 NA NA 2.5375 15.421824 30.0357 3.579072 1.04826
"Felis_catus" "Carnivora" "Felidae" "Felis" 2947.267 NA 1.233323913 251.26 NA NA NA NA NA NA NA 447.984584 NA 1.66167806605968 655.03482 NA NA NA NA NA NA NA
"Herpestes_javanicus" "Carnivora" "Herpestidae" "Herpestes" 720.714 25.075 0.246225714 73.25 NA 2 150 45.5 216.667 2.281 47.233 178.016358 4.1123 0.25168051721347 81.38075 NA 0 30 20.5205 38.566726 0.367241 2.645048
"Desmana_moschata" "Soricomorpha" "Talpidae" "Desmana" 428.875 NA 0.0045 NA 2 1.667 NA NA NA 3.867 46.25 49.320625 NA 0 NA 0 0.471761 NA NA NA 0.189483 1.24875
"Erinaceus_europaeus" "Erinaceomorpha" "Erinaceidae" "Erinaceus" 865.896 15.708 0.143858947 234.078 NA 1.429 NA 33.177 262.5 4.4 35.556 282.282096 2.874564 0.14206538931861 259.358424 NA 0.320096 NA 8.426958 68.25 1.0208 2.417808
