N,MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterBirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MRLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MRLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm
2537,Chiroptera,Vespertilionidae,Murina,puta,Murina_puta,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7.05,NA,NA,NA,36066,25.29,21.9,23.6,122,120.04,121.02,70,676.6,73,0.03,160.5,165.8,NA,NA
2538,Chiroptera,Vespertilionidae,Murina,rozendaali,Murina_rozendaali,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5.73,NA,NA,NA,80064,5.81,1.85,3.83,118.15,100.59,109.37,3,98.92,7,0.11,210.06,252.35,1687.92,1818.47
2539,Chiroptera,Vespertilionidae,Murina,silvatica,Murina_silvatica,NA,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4.57,NA,NA,NA,305747,45.52,33.42,39.47,145.82,130.86,138.34,56,322.54,73,0.01,125.1,83.36,743.5,799.35
2540,Chiroptera,Vespertilionidae,Murina,suilla,Murina_suilla,NA,4,29.99,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,385996,6.11,-7.88,-0.88,118.46,97.05,107.76,1,123.25,3,0.16,251.05,236.82,1660.95,1704.85
2541,Chiroptera,Vespertilionidae,Murina,tenebrosa,Murina_tenebrosa,NA,NA,34.49,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6.5,NA,NA,NA,451,34.7,34.29,34.49,129.49,129.23,129.36,318,318,318,-0.01,NA,NA,NA,NA
2542,Chiroptera,Vespertilionidae,Murina,tubinaris,Murina_tubinaris,NA,5.45,32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1503061,36.03,12.41,24.22,108.04,72.76,90.4,1,80.61,5,0.09,144.16,194.85,1060.39,1384.22
2543,Chiroptera,Vespertilionidae,Murina,ussuriensis,Murina_ussuriensis,NA,NA,30.99,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4.79,NA,NA,NA,171546,54.41,44.55,49.48,144.75,130.02,137.38,1,28.52,1,-0.04,47.62,-0.11,495.6,502.27
2544,Rodentia,Muridae,Mus,baoulei,Mus_baoulei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83068,9.3,5.98,7.64,-4.03,-8.21,-6.12,6,38.49,8,0.09,127.38,261.57,1189.73,1491.36
2545,Rodentia,Muridae,Mus,booduga,Mus_booduga,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000971,0.000891,NA,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3533802,33.58,5.91,19.75,94.99,66.43,80.71,7,330.31,33,0.09,93.42,247.98,727.88,1414.83
2546,Rodentia,Muridae,Mus,bufo,Mus_bufo,NA,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100286,0.92,-4.99,-2.03,30.52,27.93,29.22,7,135.62,9,0.12,105.95,193.8,1326,1514.7
2547,Rodentia,Muridae,Mus,callewaerti,Mus_callewaerti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629312,-6.64,-11.95,-9.3,27.89,14.66,21.27,2,9.8,2,0.17,115.66,224.46,1007.25,1417.9
2548,Rodentia,Muridae,Mus,caroli,Mus_caroli,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344917,25.29,8.55,16.92,122,99.15,110.57,2,188.57,10,0.09,142.69,227.66,1142.17,1464.53
2549,Rodentia,Muridae,Mus,cervicolor,Mus_cervicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,4.4,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493098,29.24,8.55,18.9,109.46,81.67,95.56,1,110.36,7,0.09,148.08,216.33,1099.81,1473.01
2550,Rodentia,Muridae,Mus,cookii,Mus_cookii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921874,26.25,13.49,19.87,108.56,91.57,100.06,1,62.65,8,0.09,139.59,212.84,1084.36,1421.81
2551,Rodentia,Muridae,Mus,crociduroides,Mus_crociduroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687,-1.28,-2.38,-1.83,101.85,100.96,101.4,36,65.86,36,0.12,341.57,213.28,1819.84,1955
2552,Rodentia,Muridae,Mus,famulus,Mus_famulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4826,11.61,10.83,11.22,77.06,76.37,76.71,166,485.59,166,0.06,118.17,255.02,1083.94,1579.08
2553,Rodentia,Muridae,Mus,fernandoni,Mus_fernandoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66626,9.83,5.91,7.87,81.88,79.69,80.78,68,335.39,74,0.07,141.67,258.11,1536.71,1630.08
2554,Rodentia,Muridae,Mus,goundae,Mus_goundae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16481,9.68,8.09,8.88,21.64,20.22,20.93,0,0.9,0,0,102.1,265.72,912.15,1670.98
2555,Rodentia,Muridae,Mus,haussa,Mus_haussa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1826639,14.87,5.09,9.98,14.11,-17.53,-1.7,3,85.67,8.5,0.13,99.67,266.1,922.56,1613.01
2556,Rodentia,Muridae,Mus,indutus,Mus_indutus,NA,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530521,-16.84,-28.06,-22.45,30.63,13.82,22.22,0,11.69,0,0.09,38.2,198.92,514.9,1392.93
2557,Rodentia,Muridae,Mus,kasaicus,Mus_kasaicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7294,-6.09,-6.94,-6.51,22.95,21.99,22.47,24,28,24,0.09,141.79,237.4,1258.59,1543.4
2558,Rodentia,Muridae,Mus,macedonicus,Mus_macedonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1511784,43.1,27.72,35.41,49.27,18.19,33.73,1,99.23,10,0.09,43.61,121.76,392.56,1051.81
2559,Rodentia,Muridae,Mus,mahomet,Mus_mahomet,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,849941,15.76,-1.72,7.01,41.63,34.46,38.04,1,75.19,1,0.13,76.52,202.7,932.21,1465.66
2560,Rodentia,Muridae,Mus,mattheyi,Mus_mattheyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3620,5.96,5.23,5.59,-0.07,-0.78,-0.43,86,314.42,86,0.11,80.66,265.33,1471.33,1653.66
2561,Rodentia,Muridae,Mus,mayori,Mus_mayori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66626,9.83,5.91,7.87,81.88,79.69,80.78,68,335.39,74,0.07,141.67,258.11,1536.71,1630.08
2562,Rodentia,Muridae,Mus,minutoides,Mus_minutoides,1,6.44,NA,NA,NA,62,22.19,7.92,3,NA,20.71,1,NA,NA,31.2,4.09,4,37.2,1.02,25.49,92.6,NA,51.83,NA,NA,1,2,20.19,3.34,50,NA,NA,NA,NA,1646723,-14.1,-34.83,-24.47,38.34,15.64,26.99,0,37.98,0,0.14,54.53,189.62,695.13,1268.84
2563,Rodentia,Muridae,Mus,musculoides,Mus_musculoides,NA,8.24,NA,61.74,14,NA,NA,NA,NA,NA,23.57,NA,NA,NA,NA,3.39,NA,NA,0.8,NA,628,NA,NA,NA,NA,NA,NA,23.53,NA,NA,NA,NA,NA,NA,15342834,13.62,-30.89,-8.63,51.41,-16.79,17.3,0,30.71,1,0.13,92.48,231.12,924.23,1520.39
2564,Rodentia,Muridae,Mus,musculus,Mus_musculus,NA,19.3,NA,NA,NA,139.5,56.76,35.7,1,NA,19.6,2,0.000518,0.000475,NA,5.49,4.5,72,1.07,21.99,4900,NA,56.69,NA,10,2,3,21.49,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2565,Rodentia,Muridae,Mus,neavei,Mus_neavei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528293,-9.65,-25.66,-17.65,34.2,29.07,31.63,1,27.77,2,0.15,68.66,216.59,801.04,1433.47
2566,Rodentia,Muridae,Mus,orangiae,Mus_orangiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5173,-26.12,-26.94,-26.53,27.87,27.01,27.44,44,232.24,44,0.1,52.25,161.48,721.78,1232.76
2567,Rodentia,Muridae,Mus,oubanguii,Mus_oubanguii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34991,7.05,4.19,5.62,22.79,21.15,21.97,0,5.57,1,0.05,134.48,246.43,1329.15,1661.2
2568,Rodentia,Muridae,Mus,pahari,Mus_pahari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1291821,28.57,11.56,20.07,108.19,88.32,98.26,1,70.95,4,0.09,150.15,187.61,1075.4,1367.96
2569,Rodentia,Muridae,Mus,phillipsi,Mus_phillipsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1234844,28.61,8.06,18.34,86.19,72.35,79.27,22,342.82,94,0.09,91.33,258.32,786.85,1510.53
2570,Rodentia,Muridae,Mus,platythrix,Mus_platythrix,NA,29.1,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119950,24.32,10.13,17.22,85.41,73.28,79.34,103,386.52,126,0.07,134.5,249.63,911.51,1550.41
2571,Rodentia,Muridae,Mus,saxicola,Mus_saxicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250733,26.85,10.49,18.67,90.01,66.11,78.06,16,323.56,94,0.08,90.46,256.1,722.85,1461.9
2572,Rodentia,Muridae,Mus,setulosus,Mus_setulosus,1,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2493994,10.19,-0.3,4.94,40.54,-13.29,13.62,0,56.43,1,0.08,131.73,238.65,1212.31,1545.44
2573,Rodentia,Muridae,Mus,setzeri,Mus_setzeri,NA,6.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311593,-12.96,-25.06,-19.01,24.11,18.99,21.55,0,1.97,0,0.1,49.99,216.49,583.74,1494.64
2574,Rodentia,Muridae,Mus,shortridgei,Mus_shortridgei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280802,22.75,12.63,17.69,103.49,95.57,99.53,5,75.56,10,0.07,118.1,239.75,1116.04,1603.29
2575,Rodentia,Muridae,Mus,sorella,Mus_sorella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2477946,5.54,-8.38,-1.41,38.89,13.76,26.32,0,37.06,1,0.13,128.28,236.71,1330.63,1567.08
2576,Rodentia,Muridae,Mus,spicilegus,Mus_spicilegus,NA,NA,NA,75.3,17.5,NA,NA,NA,1,NA,NA,2,0.000185,0.000172,NA,6.7,4.5,NA,NA,NA,875,NA,87.54,NA,NA,1,1,NA,NA,NA,13.4,NA,NA,NA,625827,49.94,42.58,46.26,39.43,16.11,27.77,18,103.44,25,-0.00974,43.84,86.67,485.02,637.71
2577,Rodentia,Muridae,Mus,spretus,Mus_spretus,2,16.7,NA,NA,NA,NA,61.91,21.8,NA,NA,NA,NA,0.000205,0.000174,NA,5.15,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,979425,42.49,29.84,36.16,12.42,-9.89,1.26,3,128.79,10,0.05,39.35,147.77,432.45,1081.09
2578,Rodentia,Muridae,Mus,tenellus,Mus_tenellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1961535,14.94,-7.14,3.89,45.69,29.84,37.77,1,36,2,0.11,64.19,231.45,817.36,1549.28
2579,Rodentia,Muridae,Mus,terricolor,Mus_terricolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532171,30.08,11.23,20.66,84.02,73.42,78.72,22,283.99,90,0.09,83.8,256.33,745.61,1487.6
2580,Rodentia,Muridae,Mus,triton,Mus_triton,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13,3,NA,1.3,NA,825,NA,44.27,NA,NA,NA,NA,27.5,4.5,NA,NA,NA,NA,NA,3202685,2.13,-16.85,-7.36,39.03,13.93,26.48,0,37.78,2,0.18,96.5,218.65,973.98,1496.51
2581,Rodentia,Muridae,Mus,vulcani,Mus_vulcani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3093,-6.55,-6.97,-6.76,107.43,106.65,107.04,760,908.5,760,0.11,280,230.5,1636,1922
2582,Rodentia,Myoxidae,Muscardinus,avellanarius,Muscardinus_avellanarius,2,29.2,NA,76.59,18,NA,NA,NA,8,NA,24.97,1,0.00328,0.00281,50,4.14,1.5,72,0.8,NA,NA,NA,301.57,NA,NA,2,2,36.25,NA,NA,NA,NA,NA,NA,3331819,59.53,36.38,47.96,52.15,-5.72,23.21,5,137.78,17,0.00962,59.66,79.39,491.79,595.43
2583,Chiroptera,Phyllostomidae,Musonycteris,harrisoni,Musonycteris_harrisoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,66457,19.69,16.92,18.3,-99.77,-104.59,-102.18,8,44.7,9,0.08,101.03,220.08,887.67,1643.92
2584,Carnivora,Mustelidae,Mustela,africana,Mustela_africana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4349020,5.17,-13.48,-4.15,-44.36,-77.06,-60.71,0,3.27,0,0.14,182.62,253.29,1432.18,1589.03
2585,Carnivora,Mustelidae,Mustela,altaica,Mustela_altaica,2,180,NA,244.92,NA,NA,NA,NA,1,56,39.99,1,NA,NA,365,5.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,56,NA,NA,NA,1.11,NA,NA,7652386,57.24,24.92,41.08,135.91,70.34,103.12,0,66.51,0,0.05,50.88,-6.12,451.07,714.7
2586,Carnivora,Mustelidae,Mustela,erminea,Mustela_erminea,2,284,NA,216.89,35.1,NA,NA,NA,1,104.99,56.29,1,0.11,0.1,365,6.58,NA,85.23,2.26,NA,6.25,NA,87.1,NA,10,1,3,58.88,25.3,NA,NA,1.11,NA,NA,39716898,83.62,18.16,50.89,179.96,-179.95,0.00149,0,27.06,0,0.00751,38.17,-28.22,320.6,403.21
2587,Carnivora,Mustelidae,Mustela,eversmannii,Mustela_eversmannii,1,1690,NA,435.44,30,365,NA,NA,1,90,40.14,1,NA,NA,365,9.24,1,NA,5,NA,NA,NA,279.83,NA,NA,1,3,48.64,NA,NA,NA,NA,NA,NA,16554152,60.17,26.63,43.4,131.93,11.75,71.84,0,39.51,0,0.03,34.34,17.92,352.41,615.94
2588,Carnivora,Mustelidae,Mustela,felipei,Mustela_felipei,NA,211,NA,215.62,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2259,2.28,1.76,2.02,-76.27,-76.9,-76.59,30,45.99,30,0.11,113.99,131,1528.74,1559.99
2589,Carnivora,Mustelidae,Mustela,frenata,Mustela_frenata,2,191,NA,230.63,35.87,NA,206.4,204.38,1,84,24.5,2,0.21,0.19,365,6.49,NA,85.23,3.1,NA,0.76,NA,192.39,NA,8,2,3,34.69,28.7,NA,NA,1.11,NA,NA,12290919,56.14,-17.08,19.52,-61.65,-127.02,-94.34,0,42.5,0,0.07,78.21,130.93,748.43,1034.26
2590,Carnivora,Mustelidae,Mustela,kathiah,Mustela_kathiah,NA,264,NA,260.62,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,320537,31.71,18.16,24.93,122.13,78.86,100.49,4,322.41,12,0.07,120.3,154.81,1032.64,1193.5
2591,Carnivora,Mustelidae,Mustela,lutreola,Mustela_lutreola,2,568,NA,362.02,33,NA,NA,NA,2,97.49,43.74,3,0.17,0.16,365,4.49,NA,120,7.42,NA,0.07,NA,306.07,NA,NA,1,3,58.52,NA,NA,NA,1.11,NA,NA,3568955,66.41,42.24,54.33,62.07,-4.79,28.63,0,50.54,1,-0.00558,45.48,41.81,404,457.91
2592,Carnivora,Mustelidae,Mustela,lutreolina,Mustela_lutreolina,2,466,NA,309.84,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,52045,-3.22,-7.58,-5.4,109.44,103.32,106.38,50,696.72,52,0.1,236.58,245.51,1752.94,1825.64
2593,Carnivora,Mustelidae,Mustela,nigripes,Mustela_nigripes,1,907,NA,398.21,35,NA,NA,NA,1,120,43,1,0.84,0.77,365,3.39,NA,144,7.4,NA,2,NA,323.18,NA,NA,1,3,59.27,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2594,Carnivora,Mustelidae,Mustela,nivalis,Mustela_nivalis,2,79.9,NA,189.26,29.08,NA,204.6,76.46,1,135,36.42,1,0.07,0.06,273.75,5.1,1,120,2,50,12.9,NA,148.29,NA,NA,1,3,35.63,45.8,NA,NA,NA,NA,NA,43696054,77.73,25.94,51.84,179.96,-179.42,0.27,0,38.08,0,0.01,37.47,-6.72,334.27,465.38
2595,Carnivora,Mustelidae,Mustela,nudipes,Mustela_nudipes,NA,569,NA,327.77,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1430582,7.03,-8.78,-0.87,119.26,95.18,107.22,1,149.19,4,0.14,239.47,248,1667.44,1736.8
2596,Carnivora,Mustelidae,Mustela,putorius,Mustela_putorius,1,984,NA,360.98,29.08,NA,847.8,1030,1,69.99,41.49,1,0.42,0.38,252.5,8.48,1,168,9.5,NA,0.83,NA,267.67,NA,NA,1,3,54.07,NA,NA,NA,NA,NA,NA,7565541,65.74,29.72,47.73,64.15,-9.49,27.32,0,95.38,2,0.00551,50.81,63.88,429.74,545.68
2597,Carnivora,Mustelidae,Mustela,sibirica,Mustela_sibirica,2,532,NA,307.71,27.94,NA,NA,NA,1,90,30.16,1,3.43,3.15,NA,6.99,NA,106,NA,NA,NA,NA,NA,NA,NA,1,3,58.01,NA,NA,NA,NA,NA,NA,20541866,61.33,15.59,38.46,145.82,52.2,99.01,0,84.8,0,0.03,46.89,23.77,443.36,673.83
2598,Carnivora,Mustelidae,Mustela,strigidorsa,Mustela_strigidorsa,NA,1500,NA,288.11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,453670,28.93,11,19.97,106.33,86.64,96.48,1,81.35,2,0.09,163.3,159.57,1085.79,1345.23
2599,Carnivora,Mustelidae,Mustela,vison,Mustela_vison,1,904,NA,366,35.16,NA,600.6,785,1,120,51.44,2,2.06,1.89,365,4.76,NA,120,8.75,NA,2.5,NA,298.77,NA,NA,1,3,54.08,NA,NA,NA,1.11,NA,NA,13218592,71.39,24.94,48.16,-55.61,-168.12,-111.87,0,20.21,0,0.03,55.37,14.91,458.26,529.25
2600,Carnivora,Mustelidae,Mydaus,javanensis,Mydaus_javanensis,1,2500,NA,443.71,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,NA,NA,NA,NA,NA,NA,NA,764817,7.03,-8.64,-0.8,118.63,95.72,107.18,1,188.31,4,0.13,242.37,248.86,1664.1,1736.82
2601,Carnivora,Mustelidae,Mydaus,marchei,Mydaus_marchei,2,2500,NA,391.82,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,12527,12.33,8.32,10.33,120.34,117.17,118.75,22,41.8,25,0.21,224,249.78,NA,NA
2602,Rodentia,Muridae,Mylomys,dybowskii,Mylomys_dybowskii,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3973541,10.44,-6.16,2.13,35.78,-8.43,13.67,0,49.08,1,0.11,127.27,246.04,1216.01,1582.79
2603,Rodentia,Myocastoridae,Myocastor,coypus,Myocastor_coypus,2,6360,NA,522.43,0,319.37,NA,NA,6,NA,132.04,3,0.02,0.02,131.5,5.34,2.58,144,206,NA,228,NA,146.54,7.5,8.5,1,2,53.36,1750,NA,NA,NA,NA,NA,4147600,-15.78,-55.05,-35.41,-49.05,-74.74,-61.89,0,19.13,0,0.08,70.13,143.97,707.15,979.58
2604,Dasyuromorphia,Dasyuridae,Myoictis,melas,Myoictis_melas,2,225,NA,191.21,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,261431,-0.00769,-9.25,-4.62,147.73,130.2,138.97,1,5.72,1,0.16,221.81,237.13,1675.12,1707.85
